epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4025,1.61674,2.73248,1.98992,0.00333,1,0.37295,0.19682,1.16001,3.15537,2.29347,0.0001,0.0001,0.0001
2,43.9884,0.96195,2.2862,1.52477,0.00333,1,0.90222,0.5872,0.60238,2.79923,1.75373,0.00021637,0.00021637,0.00021637
3,65.3913,0.51713,1.54397,1.17441,0.00333,1,0.935,0.82872,0.49279,2.56979,1.35018,0.00032878,0.00032878,0.00032878
4,86.7537,0.41773,1.11657,1.07897,1,0.73648,0.995,0.89361,0.48432,2.36211,1.27704,0.00043723,0.00043723,0.00043723
5,108.202,0.45901,1.09568,1.06325,0.98174,1,0.995,0.8417,0.54579,2.15233,1.35256,0.00054172,0.00054172,0.00054172
6,129.47,0.38936,0.91142,1.01872,0.98322,1,0.995,0.78029,0.68167,1.86199,1.80244,0.00064225,0.00064225,0.00064225
7,150.859,0.39804,0.83834,1.02007,0.9921,1,0.995,0.88553,0.54004,1.734,1.37922,0.00073882,0.00073882,0.00073882
8,172.184,0.39861,0.79877,1.01344,0.99482,0.8,0.93564,0.66449,0.62463,2.17557,1.50917,0.00083143,0.00083143,0.00083143
9,193.56,0.39364,0.76167,0.99501,0.99731,1,0.995,0.82157,0.65991,1.29136,1.62617,0.00092008,0.00092008,0.00092008
10,214.991,0.39372,0.76099,1.02388,0.99493,1,0.995,0.82707,0.71781,1.30375,1.69249,0.00100477,0.00100477,0.00100477
11,236.473,0.40825,0.75117,1.02541,0.98206,1,0.995,0.79596,0.70417,1.40785,1.73064,0.0010855,0.0010855,0.0010855
12,257.737,0.35625,0.6834,0.98828,0.96181,1,0.995,0.80275,0.87398,1.54004,2.13743,0.00116227,0.00116227,0.00116227
13,279.127,0.35708,0.65745,1.00234,0.98959,1,0.995,0.56936,1.65248,1.89642,3.36171,0.00123508,0.00123508,0.00123508
14,300.406,0.34888,0.64951,0.9735,0.89966,1,0.98591,0.81779,0.65852,1.43188,1.77129,0.00130393,0.00130393,0.00130393
15,321.775,0.3653,0.61083,1.01822,0.88926,0.9,0.95833,0.64487,0.83138,1.63572,1.61086,0.00136882,0.00136882,0.00136882
16,343.189,0.34707,0.59959,0.99466,0.99027,1,0.995,0.8778,0.5723,1.15507,1.58947,0.00142975,0.00142975,0.00142975
17,364.6,0.34043,0.61636,0.98637,0.9949,1,0.995,0.89175,0.59983,1.00094,1.76167,0.001472,0.001472,0.001472
18,385.986,0.3234,0.53272,0.96012,0.98817,1,0.995,0.93396,0.50177,0.89598,1.60027,0.001439,0.001439,0.001439
19,407.373,0.31561,0.52431,0.97303,0.97809,1,0.995,0.86772,0.54944,0.88937,1.59944,0.001406,0.001406,0.001406
20,428.477,0.34395,0.5005,0.98934,0.94899,1,0.995,0.90398,0.46113,0.98324,1.46175,0.001373,0.001373,0.001373
21,449.831,0.33735,0.51733,0.9941,0.98264,1,0.995,0.89176,0.5077,0.78524,1.52937,0.00134,0.00134,0.00134
22,471.194,0.28902,0.47397,0.96631,0.9818,1,0.995,0.85443,0.57062,0.82392,1.44653,0.001307,0.001307,0.001307
23,492.541,0.26871,0.46131,0.91275,1,0.86812,0.945,0.63811,0.44203,1.54978,1.25796,0.001274,0.001274,0.001274
24,513.827,0.288,0.45177,0.96338,1,0.97174,0.995,0.83281,0.33463,1.21482,1.06541,0.001241,0.001241,0.001241
